Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Stress Intensity (MPa)
1	5000.	4000.	0.	1.5317e-005
2	5000.	0.	0.	1.9817e-003
3	5000.	3900.	0.	6.5479e-006
4	5000.	3800.	0.	2.2237e-005
5	5000.	3700.	0.	3.9009e-005
6	5000.	3600.	0.	5.5909e-005
7	5000.	3500.	0.	7.3133e-005
8	5000.	3400.	0.	9.0784e-005
9	5000.	3300.	0.	1.0883e-004
10	5000.	3200.	0.	1.2713e-004
11	5000.	3100.	0.	1.4547e-004
12	5000.	3000.	0.	1.6362e-004
13	5000.	2900.	0.	1.8135e-004
14	5000.	2800.	0.	1.9844e-004
15	5000.	2700.	0.	2.1475e-004
16	5000.	2600.	0.	2.3014e-004
17	5000.	2500.	0.	2.4456e-004
18	5000.	2400.	0.	2.5798e-004
19	5000.	2300.	0.	2.7043e-004
20	5000.	2200.	0.	2.8196e-004
21	5000.	2100.	0.	2.9268e-004
22	5000.	2000.	0.	3.0274e-004
23	5000.	1900.	0.	3.1232e-004
24	5000.	1800.	0.	3.2165e-004
25	5000.	1700.	0.	3.3101e-004
26	5000.	1600.	0.	3.407e-004
27	5000.	1500.	0.	3.5109e-004
28	5000.	1400.	0.	3.6258e-004
29	5000.	1300.	0.	3.7559e-004
30	5000.	1200.	0.	3.9058e-004
31	5000.	1100.	0.	4.0801e-004
32	5000.	1000.	0.	4.2833e-004
33	5000.	900.	0.	4.5205e-004
34	5000.	800.	0.	4.7969e-004
35	5000.	700.	0.	5.1201e-004
36	5000.	600.	0.	5.5001e-004
37	5000.	500.	0.	5.963e-004
38	5000.	400.	0.	6.5197e-004
39	5000.	300.	0.	7.4171e-004
40	5000.	200.	0.	8.2282e-004
41	5000.	100.	0.	1.2992e-003
42	3500.	4000.	0.	6.9188e-004
43	4900.	4000.	0.	1.2359e-005
44	4800.	4000.	0.	8.6031e-006
45	4700.	4000.	0.	4.1767e-006
46	4600.	4000.	0.	1.0157e-006
47	4500.	4000.	0.	6.3236e-006
48	4400.	4000.	0.	1.2041e-005
49	4300.	4000.	0.	1.7969e-005
50	4200.	4000.	0.	2.4026e-005
51	4100.	4000.	0.	3.0105e-005
52	4000.	4000.	0.	3.6463e-005
53	3900.	4000.	0.	4.2393e-005
54	3800.	4000.	0.	5.2728e-005
55	3700.	4000.	0.	6.139e-005
56	3600.	4000.	0.	1.7818e-004
57	3500.	0.	0.	4.0716e-004
58	3500.	3900.	0.	8.6156e-004
